x1,y1,G_dgm
421882.521375,212144.878545,3050.18396989
421883.021098,212144.012359,3050.34742353
421883.52082,212143.146174,3050.48984359
421884.020543,212142.279988,3050.6289694
421884.520265,212141.413802,3050.78290556
421885.019987,212140.547617,3050.93881336
421885.51971,212139.681431,3051.09669279
421886.019432,212138.815246,3051.29107956
421886.519155,212137.94906,3051.51040003
421887.018877,212137.082874,3051.7340554
421887.5186,212136.216689,3051.95085342
421888.018322,212135.350503,3052.16022881
421888.518045,212134.484318,3052.36218156
421889.017767,212133.618132,3052.55671166
421889.517489,212132.751947,3052.74301905
421890.017212,212131.885761,3052.91350894
421890.516934,212131.019575,3053.08886993
421891.016657,212130.15339,3053.25889737
421891.516379,212129.287204,3053.41236892
421892.016102,212128.421019,3053.56636238
421892.515824,212127.554833,3053.71766499
421893.015547,212126.688647,3053.85615523
421893.515269,212125.822462,3053.98479555
421894.014992,212124.956276,3054.10358597
421894.514714,212124.090091,3054.21252648
421895.014436,212123.223905,3054.31161708
421895.514159,212122.35772,3054.42342357
421896.013881,212121.491534,3054.55174636
421896.513604,212120.625348,3054.72424302
421897.013326,212119.759163,3054.89501658
421897.513049,212118.892977,3055.06406702
421898.012771,212118.026792,3055.23139435
421898.512494,212117.160606,3055.41228527
421899.012216,212116.29442,3055.59021494
421899.511939,212115.428235,3055.76329836
421900.011661,212114.562049,3055.93153553
421900.511383,212113.695864,3056.09492644
421901.011106,212112.829678,3056.25098811
421901.510828,212111.963492,3056.36270438
421902.010551,212111.097307,3056.46477801
421902.510273,212110.231121,3056.569544
421903.009996,212109.364936,3056.67700236
421903.482677,212108.48782,3056.78715308
421903.725212,212107.517677,3056.89329939
421903.967748,212106.547535,3056.98700811
421904.210283,212105.577392,3057.07332734
421904.452819,212104.60725,3057.15225706
421904.695355,212103.637107,3057.22379728
421904.93789,212102.666965,3057.30417096
421905.180426,212101.696822,3057.37872355
421905.422962,212100.72668,3057.4530625
421905.665497,212099.756537,3057.5361827
421905.908033,212098.786395,3057.62808415
421906.150568,212097.816252,3057.72876684
421906.393104,212096.84611,3057.83817143
421906.63564,212095.875967,3057.94309805
421906.878175,212094.905825,3058.03496879
421907.120711,212093.935682,3058.11378363
421907.363247,212092.96554,3058.17170258
421907.605782,212091.995397,3058.15071203
421907.848318,212091.025255,3058.10904028
421908.090853,212090.055112,3058.07622609
421908.333389,212089.08497,3058.04622853
421908.575925,212088.114827,3058.01904759
421908.81846,212087.144685,3057.99468327
421909.060996,212086.174542,3057.97313559
421909.303532,212085.2044,3057.94510708
421909.546067,212084.234257,3057.9046002
421909.788603,212083.264115,3057.85570971
421910.031138,212082.293972,3057.8648053
421910.273674,212081.32383,3057.88272416
421910.51621,212080.353687,3057.89422278
421910.758745,212079.383545,3057.96442555
421911.001281,212078.413402,3058.04016159
421911.243817,212077.44326,3058.11237685
421911.486352,212076.473117,3058.18107133
421911.728888,212075.502975,3058.24624502
421911.971423,212074.532832,3058.30506671
421912.144371,212073.603127,3058.34137816
421911.181407,212073.333497,3058.36828378
421910.218443,212073.063867,3058.3689959
421909.255479,212072.794237,3058.33706001
421908.292515,212072.524607,3058.2724761
421907.329551,212072.254977,3058.23262969
421906.366587,212071.985348,3058.26101309
421905.403623,212071.715718,3058.29570904
421904.440659,212071.446088,3058.33671756
421903.477695,212071.176458,3058.38403863
421902.514731,212070.906828,3058.43767225
421901.551767,212070.637198,3058.46620048
421900.588803,212070.367568,3058.5116955
421899.625839,212070.097938,3058.55538457
421898.662875,212069.828308,3058.59726768
421897.699911,212069.558678,3058.63734483
421896.736947,212069.289048,3058.67585208
421895.773983,212069.019418,3058.75425663
421894.811019,212068.749788,3058.83193218
421893.848055,212068.480159,3058.90879035
421892.885091,212068.210529,3058.98468006
421891.922127,212067.940899,3059.05984179
421890.959163,212067.671269,3059.15734015
421889.996199,212067.401639,3059.26485628
421889.033235,212067.132009,3059.34928406
421888.070271,212066.862379,3059.41062348
421887.107307,212066.592749,3059.44887454
421886.144343,212066.323119,3059.46403724
421885.181378,212066.053489,3059.5131329
421884.218414,212065.783859,3059.60282973
421883.25545,212065.514229,3059.69701849
421882.292486,212065.244599,3059.79569918
421881.329522,212064.974969,3059.91027828
421880.366558,212064.70534,3060.03856663
421879.403594,212064.43571,3060.13283268
421878.44063,212064.16608,3060.21671384
421877.477666,212063.89645,3060.29570599
421876.514702,212063.62682,3060.36980913
421875.669544,212063.214476,3060.43902327
421875.222331,212062.320049,3060.51499505
421874.775117,212061.425622,3060.65758826
421874.327903,212060.531194,3060.80329189
421873.88069,212059.636767,3060.95089475
421873.433476,212058.74234,3061.09749025
421872.986263,212057.847913,3061.247494
421872.539049,212056.953486,3061.38542646
421872.091835,212056.059058,3061.48855792
421871.644622,212055.164631,3061.56993289
421871.197408,212054.270204,3061.62955136
421870.750195,212053.375777,3061.66741333
421870.302981,212052.48135,3061.68351881
421869.855767,212051.586922,3061.79512878
421869.408554,212050.692495,3061.9544866
421868.96134,212049.798068,3062.14175381
421868.514127,212048.903641,3062.33516811
421868.066913,212048.009214,3062.53187484
421867.6197,212047.114786,3062.73169966
421867.172486,212046.220359,3062.90600065
421866.725272,212045.325932,3063.07978048
421866.278059,212044.431505,3063.25303915
421865.830845,212043.537078,3063.42577665
421865.383632,212042.64265,3063.59799299
421864.936418,212041.748223,3063.77554662
421864.489204,212040.853796,3063.95954233
421864.041991,212039.959369,3064.14069607
421863.594777,212039.064942,3064.33109011
421863.147564,212038.170515,3064.53072446
421862.70035,212037.276087,3064.73959911
421861.767249,212037.348699,3064.90183788
421860.782687,212037.523732,3065.0102671
421859.798124,212037.698765,3065.09962009
421858.813562,212037.873799,3065.16989685
421857.828999,212038.048832,3065.22109739
421856.844437,212038.223865,3065.26666976
421855.859874,212038.398899,3065.45718538
421854.875312,212038.573932,3065.68053212
421853.890749,212038.748965,3065.87557667
421852.906187,212038.923999,3066.04400973
421851.921624,212039.099032,3066.21616552
421850.937062,212039.274065,3066.30062176
421849.952499,212039.449099,3066.31569802
421848.967937,212039.624132,3066.33004751
421847.983374,212039.799165,3066.34367024
421846.998812,212039.974199,3066.35656621
421846.014249,212040.149232,3066.41022652
421845.029687,212040.324265,3066.49867266
421844.045124,212040.499299,3066.58810892
421843.060562,212040.674332,3066.67853528
421842.075999,212040.849365,3066.76995175
421841.091437,212041.024399,3066.88660692
421840.106874,212041.199432,3067.02393949
421839.122312,212041.374465,3067.15975697
421838.137749,212041.549499,3067.29405937
421837.153187,212041.724532,3067.42684667
421836.168624,212041.899565,3067.55343569
421835.184062,212042.074599,3067.67752185
421834.199499,212042.249632,3067.80475959
421833.214937,212042.424665,3067.93514893
421832.230374,212042.599699,3068.06868985
421831.245811,212042.774732,3068.18262238
421830.261249,212042.949765,3068.27241013
421829.276686,212043.124799,3068.36050666
421828.292124,212043.299832,3068.44691196
421827.307561,212043.474865,3068.53162605
421826.322999,212043.649899,3068.62321592
421825.338436,212043.824932,3068.72633758
421824.353874,212043.999965,3068.83264331
421823.369311,212044.174999,3068.94213312
421822.384749,212044.350032,3069.05480702
421821.400186,212044.525065,3069.1422986
421820.415624,212044.700099,3069.1951935
421819.431061,212044.875132,3069.24676312
421818.446499,212045.050165,3069.14464245
421817.461936,212045.225199,3068.86682646
421816.477374,212045.400232,3068.59632561
421815.492811,212045.575265,3068.33445238
421814.508249,212045.750299,3068.07808246
421813.523686,212045.925332,3067.81268896
421812.539124,212046.100365,3067.66369944
421811.554561,212046.275399,3067.53713329
421810.569999,212046.450432,3067.40872656
421809.585436,212046.625465,3067.27847924
421808.600874,212046.800499,3067.14639134
