x_450000,y_5000000,G_DGM10m
424773.331694,211025.611705,2545.9071173
424774.550417,211027.197405,2546.42417597
424775.750417,211028.797405,2546.91940876
424776.950417,211030.397405,2547.42295466
424778.150417,211031.997405,2547.99457517
424779.350417,211033.597405,2548.52974567
424780.550417,211035.197405,2549.07817949
424781.750417,211036.797405,2549.65610164
424783.071558,211038.297288,2550.18413046
424784.416904,211039.777168,2550.68010062
424785.76225,211041.257048,2551.23683826
424787.107595,211042.736928,2551.77278156
424788.452941,211044.216809,2552.2715598
424789.798286,211045.696689,2552.73317299
424791.295156,211046.989394,2553.20077507
424793.022714,211047.997136,2553.58266151
424794.750272,211049.004878,2553.93716736
424796.47783,211050.01262,2554.26472769
424798.205388,211051.020362,2554.59662203
424799.932945,211052.028104,2554.89601839
424801.424992,211053.285912,2555.33732325
424802.534392,211054.950013,2555.8240166
424803.643792,211056.614113,2556.28107054
424804.753193,211058.278214,2556.70848504
424805.862593,211059.942314,2557.10626013
424806.971994,211061.606415,2557.54804677
424808.081394,211063.270516,2557.96620487
424809.190794,211064.934616,2558.35814903
424810.300195,211066.598717,2558.75546642
424811.406643,211068.26453,2559.21532383
424812.314977,211070.04479,2559.66725939
424813.514977,211071.64479,2560.12615659
424814.714977,211073.24479,2560.56549754
424815.914977,211074.84479,2560.98528224
424817.114977,211076.44479,2561.3855107
424817.737024,211078.303199,2561.80789277
424818.129257,211080.26436,2562.23626535
424818.250553,211082.242692,2562.65356034
424818.109037,211084.237679,2563.07128352
424817.96752,211086.232666,2563.48969184
424817.826004,211088.227653,2563.90878529
424817.684487,211090.22264,2564.32166497
424817.542971,211092.217627,2564.67911514
424817.406302,211094.212785,2565.03519561
424817.406302,211096.212785,2565.3932664
424817.406302,211098.212785,2565.7513372
424817.408209,211100.212499,2566.10742133
424817.99638,211102.124057,2566.44380597
424818.584552,211104.035615,2566.77178562
424819.172724,211105.947173,2567.09136029
424819.760895,211107.858731,2567.40252998
424820.349067,211109.770289,2567.72826939
424820.942277,211111.680232,2568.15400735
424821.574733,211113.577599,2568.57950576
424822.207188,211115.474965,2568.99262332
424823.018613,211117.284801,2569.37930076
424824.128013,211118.948902,2569.72560507
424825.237413,211120.613002,2570.09783785
424826.346814,211122.277103,2570.53287886
424827.456214,211123.941203,2570.95579546
424828.565615,211125.605304,2571.36658767
424829.675015,211127.269405,2571.76525548
424830.784415,211128.933505,2572.21443991
424831.924026,211130.576754,2572.68902977
424833.086502,211132.204221,2573.19222086
424834.248979,211133.831688,2573.67641912
424835.411455,211135.459155,2574.14162457
424836.487402,211137.144486,2574.60178211
424837.5474,211138.840483,2575.04638862
424838.607398,211140.53648,2575.51029208
424839.667395,211142.232476,2576.04071027
424841.241146,211143.39404,2576.46890695
424842.977632,211144.386318,2576.8555329
424844.714119,211145.378596,2577.22093168
424846.450605,211146.370874,2577.56510331
424848.187091,211147.363152,2577.88804777
424849.923577,211148.35543,2578.18976507
