Line,x_450000,y_5000000,G_DGM10m,lotzeit
profil_2_,425181.935133,211341.172397,2663.67049285,191.2166666667
profil_2_,425183.220177,211339.639863,2663.48613131,192.0166666667
profil_2_,425184.505221,211338.107329,2663.33223083,192.7
profil_2_,425185.790266,211336.574794,2663.1875041,193.2833333333
profil_2_,425187.07531,211335.04226,2663.05195111,193.4833333333
profil_2_,425188.360354,211333.509726,2662.92557187,193.45
profil_2_,425189.645398,211331.977192,2662.80836637,195.3
profil_2_,425190.930443,211330.444657,2662.69612996,197.2
profil_2_,425192.215487,211328.912123,2662.59918238,199.6666666667
profil_2_,425193.500531,211327.379589,2662.51691375,202.5833333333
profil_2_,425194.785575,211325.847055,2662.44269378,207
profil_2_,425196.07062,211324.31452,2662.37652247,211.3666666667
profil_2_,425197.355664,211322.781986,2662.31839983,215.4
profil_2_,425198.640708,211321.249452,2662.26832585,219.1833333333
profil_2_,425199.925752,211319.716918,2662.22501329,222.8333333333
profil_2_,425201.210797,211318.184383,2662.18564554,227.0333333333
profil_2_,425202.495841,211316.651849,2662.15180951,230.7833333333
profil_2_,425203.780885,211315.119315,2662.12321426,234.5833333333
profil_2_,425205.065929,211313.586781,2662.09985977,238.3
profil_2_,425206.350974,211312.054246,2662.08174604,242.1166666667
profil_2_,425207.636018,211310.521712,2662.06887309,246.0333333333
profil_2_,425208.921062,211308.989178,2662.05075649,249.4333333333
profil_2_,425210.206106,211307.456643,2662.01951573,253.2333333333
profil_2_,425211.491151,211305.924109,2661.98357513,257.05
profil_2_,425212.776195,211304.391575,2661.95246182,260.2333333333
profil_2_,425214.061239,211302.859041,2661.92617577,262.2333333333
profil_2_,425215.346283,211301.326506,2661.90471701,264.2666666667
profil_2_,425216.631328,211299.793972,2661.88963334,266.55
profil_2_,425217.916372,211298.261438,2661.88154277,269.65
profil_2_,425219.201416,211296.728904,2661.86452848,273.0666666667
profil_2_,425220.48646,211295.196369,2661.84229127,277.0333333333
profil_2_,425221.771505,211293.663835,2661.82611388,280.7666666667
profil_2_,425223.056549,211292.131301,2661.81393679,284.2833333333
profil_2_,425224.341593,211290.598767,2661.80575998,287.95
profil_2_,425225.626637,211289.066232,2661.80796225,291.0833333333
profil_2_,425226.911682,211287.533698,2661.80619226,294.3
profil_2_,425228.196726,211286.001164,2661.79343109,297.85
profil_2_,425229.48177,211284.46863,2661.76967873,301.0333333333
profil_2_,425230.766814,211282.936095,2661.74251763,303.9333333333
profil_2_,425232.051859,211281.403561,2661.71516311,306.8333333333
profil_2_,425233.336903,211279.871027,2661.68629558,310.05
profil_2_,425234.621947,211278.338493,2661.67362659,312.6
profil_2_,425235.906992,211276.805958,2661.64650462,314.9166666667
profil_2_,425237.192036,211275.273424,2661.60492968,317.0166666667
profil_2_,425238.47708,211273.74089,2661.54890176,319.3
profil_2_,425239.762124,211272.208356,2661.47842086,321.5666666667
profil_2_,425241.047169,211270.675821,2661.40949615,323.55
profil_2_,425242.332213,211269.143287,2661.39218542,325.9833333333
profil_2_,425243.617257,211267.610753,2661.41037488,328.4833333333
profil_2_,425244.902301,211266.078218,2661.42259276,330.9
profil_2_,425246.187346,211264.545684,2661.42883905,333.3166666667
profil_2_,425247.47239,211263.01315,2661.42911375,335.5166666667
profil_2_,425248.757434,211261.480616,2661.42341686,337.35
profil_2_,425250.042478,211259.948081,2661.41610264,339.5
profil_2_,425251.327523,211258.415547,2661.52692954,342.0333333333
profil_2_,425252.612567,211256.883013,2661.63019819,344.7333333333
profil_2_,425253.897611,211255.350479,2661.72590859,347.8333333333
profil_2_,425255.182655,211253.817944,2661.81406075,351.0166666667
profil_2_,425256.4677,211252.28541,2661.89465467,353
profil_2_,425257.75616,211250.755747,2661.96821726,354.8
profil_2_,425259.044621,211249.226084,2662.03723877,355.7666666667
profil_2_,425260.333082,211247.696421,2662.11178841,357.2333333333
profil_2_,425261.621542,211246.166758,2662.18627301,358.5833333333
profil_2_,425262.910003,211244.637095,2662.25382864,359.9833333333
profil_2_,425264.198464,211243.107432,2662.31445529,361.5
profil_2_,425265.486924,211241.577769,2662.36815295,362.8333333333
profil_2_,425266.775385,211240.048106,2662.41492162,363.95
profil_2_,425268.063846,211238.518442,2662.43260291,365.0333333333
profil_2_,425269.352306,211236.988779,2662.45509176,366.2333333333
profil_2_,425270.640767,211235.459116,2662.48172748,367.4666666667
profil_2_,425271.929228,211233.929453,2662.50448129,368.6333333333
profil_2_,425273.217688,211232.39979,2662.5222597,369.8
profil_2_,425274.506149,211230.870127,2662.53506273,370.6333333333
profil_2_,425275.79461,211229.340464,2662.54283608,371.5833333333
profil_2_,425277.08307,211227.810801,2662.55259353,372.5333333333
profil_2_,425278.371531,211226.281138,2662.56720127,373.4666666667
profil_2_,425279.659992,211224.751475,2662.58665929,374.25
profil_2_,425280.948452,211223.221812,2662.60528687,375.25
profil_2_,425282.236913,211221.692149,2662.61849139,376.7333333333
profil_2_,425283.525374,211220.162486,2662.62705734,378.15
profil_2_,425284.813834,211218.632823,2662.6599354,379.55
profil_2_,425286.102295,211217.10316,2662.70392655,381.1666666667
profil_2_,425287.390756,211215.573496,2662.7562806,382.7
profil_2_,425288.679216,211214.043833,2662.81699755,383.8666666667
profil_2_,425289.967677,211212.51417,2662.88607739,384.9666666667
profil_2_,425291.256138,211210.984507,2662.96540847,386.1
profil_2_,425292.544598,211209.454844,2663.05869983,386.7666666667
profil_2_,425293.833059,211207.925181,2663.18576813,387.5166666667
profil_2_,425295.12152,211206.395518,2663.3248178,389.0666666667
profil_2_,425296.40998,211204.865855,2663.47584883,390.4666666667
profil_2_,425297.698441,211203.336192,2663.63886123,391.8
profil_2_,425298.986902,211201.806529,2663.81385499,393.2333333333
profil_2_,425300.275362,211200.276866,2664.00105267,394.85
profil_2_,425301.563823,211198.747203,2664.15692761,396.1666666667
profil_2_,425302.852284,211197.21754,2664.31403973,397.6166666667
profil_2_,425304.140744,211195.687877,2664.48143946,399.1
profil_2_,425305.429205,211194.158213,2664.6591268,400.6
profil_2_,425306.717666,211192.62855,2664.84710176,402.0833333333
profil_2_,425308.006126,211191.098887,2665.04536433,403.7666666667
profil_2_,425308.235952,211189.112136,2664.98699666,404.2166666667
profil_2_,425308.465777,211187.125385,2664.83879292,404.8166666667
profil_2_,425308.695603,211185.138634,2664.69194472,405.8333333333
profil_2_,425308.925428,211183.151883,2664.54645208,406.5833333333
profil_2_,425309.155253,211181.165131,2664.40231498,406.4166666667
profil_2_,425309.385079,211179.17838,2664.25767323,406.4833333333
profil_2_,425309.614904,211177.191629,2664.11235735,406.9833333333
profil_2_,425309.84473,211175.204878,2663.96925762,408
profil_2_,425310.074555,211173.218127,2663.83081338,408.8333333333
profil_2_,425310.30438,211171.231375,2663.69972903,409.15
profil_2_,425310.534206,211169.244624,2663.62151245,409.3333333333
profil_2_,425310.764031,211167.257873,2663.62771515,409.6333333333
profil_2_,425310.993857,211165.271122,2663.63578619,410.4833333333
profil_2_,425311.223682,211163.284371,2663.64572557,411.4666666667
profil_2_,425311.453507,211161.29762,2663.65753328,412.6333333333
profil_2_,425311.683333,211159.310868,2663.69794863,413.7333333333
profil_2_,425311.913158,211157.324117,2663.78875608,414.8833333333
profil_2_,425312.142984,211155.337366,2663.87872077,415.45
profil_2_,425312.372809,211153.350615,2663.9678427,415.6166666667
profil_2_,425312.602634,211151.363864,2664.05612188,416.0166666667
profil_2_,425312.83246,211149.377112,2664.13581069,416.6
profil_2_,425313.062285,211147.390361,2664.19856397,417.45
profil_2_,425313.292111,211145.40361,2664.26180106,418.1
profil_2_,425313.521936,211143.416859,2664.32552196,418.2333333333
profil_2_,425313.751762,211141.430108,2664.38972666,418.2166666667
profil_2_,425313.981587,211139.443356,2664.4508126,417.8666666667
profil_2_,425314.211412,211137.456605,2664.50211211,417.7666666667
profil_2_,425314.441238,211135.469854,2664.55231023,417.9833333333
profil_2_,425314.671063,211133.483103,2664.60140697,417.0166666667
profil_2_,425314.900889,211131.496352,2664.64940233,416.0666666667
profil_2_,425315.130714,211129.509601,2664.68414047,415.4
profil_2_,425315.360539,211127.522849,2664.68129224,414.5666666667
profil_2_,425315.590365,211125.536098,2664.67831469,413.65
profil_2_,425315.82019,211123.549347,2664.67520783,411.6666666667
profil_2_,425316.050016,211121.562596,2664.67197166,409.3333333333
profil_2_,425316.279841,211119.575845,2664.65379433,407.3333333333
profil_2_,425316.509666,211117.589093,2664.57956919,405.8666666667
profil_2_,425316.739492,211115.602342,2664.50298744,405.1666666667
profil_2_,425316.969317,211113.615591,2664.42404909,403.75
profil_2_,425317.199143,211111.62884,2664.34275414,401.7166666667
profil_2_,425317.428968,211109.642089,2664.25702556,400.4
profil_2_,425317.658793,211107.655337,2664.16003391,399.2666666667
profil_2_,425317.888619,211105.668586,2664.06161091,398.2833333333
profil_2_,425318.118444,211103.681835,2663.96175656,397.65
profil_2_,425318.34827,211101.695084,2663.86047085,396.8
profil_2_,425318.578095,211099.708333,2663.76322695,396.1166666667
profil_2_,425318.80792,211097.721582,2663.69562626,395.6333333333
profil_2_,425319.037746,211095.73483,2663.62531447,396.3
profil_2_,425319.267571,211093.748079,2663.55229158,397.4
profil_2_,425319.497397,211091.761328,2663.4765576,398.1833333333
profil_2_,425319.727222,211089.774577,2663.40391503,399.15
profil_2_,425319.957048,211087.787826,2663.37493036,400.0666666667
profil_2_,425320.186873,211085.801074,2663.3427224,401.0166666667
profil_2_,425320.416698,211083.814323,2663.30680028,401.9
profil_2_,425320.646524,211081.827572,2663.26746922,402.8833333333
profil_2_,425320.876349,211079.840821,2663.2211902,403.65
profil_2_,425321.106175,211077.85407,2663.13255081,404.9666666667
profil_2_,425321.336,211075.867318,2663.04361489,406.0333333333
profil_2_,425321.565825,211073.880567,2662.95438245,406.5666666667
profil_2_,425321.795651,211071.893816,2662.86485348,406.4
profil_2_,425322.025476,211069.907065,2662.77296665,405.9
profil_2_,425322.255302,211067.920314,2662.6385443,405.2333333333
profil_2_,425322.485127,211065.933563,2662.50337952,404.2333333333
profil_2_,425322.714952,211063.946811,2662.3674723,402.8
profil_2_,425322.944778,211061.96006,2662.23082266,401.0333333333
profil_2_,425323.174603,211059.973309,2662.09291085,399.3666666667
profil_2_,425323.404429,211057.986558,2661.91712751,397.9666666667
profil_2_,425323.634254,211055.999807,2661.74264843,396.6666666667
profil_2_,425323.864079,211054.013055,2661.56947363,395.0333333333
profil_2_,425324.093905,211052.026304,2661.39760309,393.3666666667
profil_2_,425324.32373,211050.039553,2661.22703683,391.7333333333
profil_2_,425324.553556,211048.052802,2661.05069414,390
profil_2_,425324.783381,211046.066051,2660.87318538,389.2166666667
profil_2_,425325.013206,211044.079299,2660.69463097,387.6333333333
profil_2_,425325.243032,211042.092548,2660.51503091,386.1833333333
profil_2_,425325.472857,211040.105797,2660.33438521,384.4166666667
profil_2_,425325.702683,211038.119046,2660.15043259,382.5166666667
profil_2_,425325.932508,211036.132295,2659.96682841,380.9666666667
profil_2_,425326.162333,211034.145544,2659.78374148,379.1166666667
profil_2_,425326.392159,211032.158792,2659.60117181,376.5833333333
profil_2_,425326.621984,211030.172041,2659.41911938,373.55
profil_2_,425326.85181,211028.18529,2659.22835588,369.2333333333
profil_2_,425327.081635,211026.198539,2659.03566488,365.1833333333
profil_2_,425327.311461,211024.211788,2658.8418502,360.7666666667
profil_2_,425327.541286,211022.225036,2658.64691184,356.1833333333
profil_2_,425327.771111,211020.238285,2658.4508498,351.5166666667
profil_2_,425328.000937,211018.251534,2658.27347402,346.3833333333
profil_2_,425328.230762,211016.264783,2658.09929857,341.2
profil_2_,425328.460588,211014.278032,2657.92572732,336.2166666667
profil_2_,425328.690413,211012.29128,2657.75276027,331.5166666667
profil_2_,425328.920238,211010.304529,2657.58039743,327.4166666667
profil_2_,425329.150064,211008.317778,2657.4323475,323.9666666667
profil_2_,425329.379889,211006.331027,2657.28843612,320.65
profil_2_,425329.609715,211004.344276,2657.14430849,317.55
profil_2_,425329.83954,211002.357525,2656.99996459,314.6166666667
profil_2_,425330.069365,211000.370773,2656.85656893,312.05
profil_2_,425330.299191,210998.384022,2656.77030742,310.4666666667
profil_2_,425330.529016,210996.397271,2656.69645382,308.9166666667
profil_2_,425330.758842,210994.41052,2656.62258908,307.1833333333
profil_2_,425330.988667,210992.423769,2656.54871319,305.2833333333
profil_2_,425331.218492,210990.437017,2656.47482615,303.15
profil_2_,425331.448318,210988.450266,2656.40895043,301.0666666667
profil_2_,425331.678143,210986.463515,2656.34636763,298.7666666667
profil_2_,425331.907969,210984.476764,2656.28494418,296.1666666667
profil_2_,425332.137794,210982.490013,2656.22468009,293.4166666667
profil_2_,425332.367619,210980.503261,2656.16557534,290.45
profil_2_,425332.597445,210978.51651,2656.10881371,287.55
profil_2_,425332.82727,210976.529759,2656.05190148,284.65
profil_2_,425333.057096,210974.543008,2655.99418886,281.3333333333
profil_2_,425333.286921,210972.556257,2655.93567583,278.1833333333
